Gene	OoCyte_1	OoCyte_2	OoCyte_3	Zygote_1	Zygote_2	Zygote_3	X2_Cell_embryo_1_Cell_1	X2_Cell_embryo_1_Cell_2	X2_Cell_embryo_2_Cell_1	X2_Cell_embryo_2_Cell_2	X2_Cell_embryo_3_Cell_1	X2_Cell_embryo_3_Cell_2	X4_Cell_embryo_1_Cell_1	X4_Cell_embryo_1_Cell_2	X4_Cell_embryo_1_Cell_3	X4_Cell_embryo_1_Cell_4	X4_Cell_embryo_2_Cell_1	X4_Cell_embryo_2_Cell_2	X4_Cell_embryo_2_Cell_3	X4_Cell_embryo_2_Cell_4	X4_Cell_embryo_3_Cell_1	X4_Cell_embryo_3_Cell_2	X4_Cell_embryo_3_Cell_3	X4_Cell_embryo_3_Cell_4	X8_Cell_embryo_1_Cell_1	X8_Cell_embryo_1_Cell_2	X8_Cell_embryo_1_Cell_3	X8_Cell_embryo_1_Cell_4	X8_Cell_embryo_2_Cell_1	X8_Cell_embryo_2_Cell_2	X8_Cell_embryo_2_Cell_3	X8_Cell_embryo_2_Cell_4	X8_Cell_embryo_2_Cell_5	X8_Cell_embryo_2_Cell_6	X8_Cell_embryo_2_Cell_7	X8_Cell_embryo_2_Cell_8	X8_Cell_embryo_3_Cell_1	X8_Cell_embryo_3_Cell_2	X8_Cell_embryo_3_Cell_3	X8_Cell_embryo_3_Cell_4	X8_Cell_embryo_3_Cell_5	X8_Cell_embryo_3_Cell_6	X8_Cell_embryo_3_Cell_7	X8_Cell_embryo_3_Cell_8	Morulae_1_Cell_1	Morulae_1_Cell_2	Morulae_1_Cell_3	Morulae_1_Cell_4	Morulae_1_Cell_5	Morulae_1_Cell_6	Morulae_1_Cell_7	Morulae_1_Cell_8	Morulae_2_Cell_1	Morulae_2_Cell_2	Morulae_2_Cell_3	Morulae_2_Cell_4	Morulae_2_Cell_5	Morulae_2_Cell_6	Morulae_2_Cell_7	Morulae_2_Cell_8	Late_blastoCyst_1_Cell_1	Late_blastoCyst_1_Cell_2	Late_blastoCyst_1_Cell_3	Late_blastoCyst_1_Cell_4	Late_blastoCyst_1_Cell_5	Late_blastoCyst_1_Cell_6	Late_blastoCyst_1_Cell_7	Late_blastoCyst_1_Cell_8	Late_blastoCyst_1_Cell_9	Late_blastoCyst_1_Cell_10	Late_blastoCyst_1_Cell_11	Late_blastoCyst_1_Cell_12	Late_blastoCyst_2_Cell_1	Late_blastoCyst_2_Cell_2	Late_blastoCyst_2_Cell_3	Late_blastoCyst_2_Cell_4	Late_blastoCyst_2_Cell_5	Late_blastoCyst_2_Cell_6	Late_blastoCyst_2_Cell_7	Late_blastoCyst_2_Cell_8	Late_blastoCyst_2_Cell_9	Late_blastoCyst_2_Cell_10	Late_blastoCyst_3_Cell_1	Late_blastoCyst_3_Cell_2	Late_blastoCyst_3_Cell_3	Late_blastoCyst_3_Cell_4	Late_blastoCyst_3_Cell_5	Late_blastoCyst_3_Cell_6	Late_blastoCyst_3_Cell_7	Late_blastoCyst_3_Cell_8
XAB2	0	0	0.182	1.892	2.104	2.319	0.277	0.291	0.34	0.567	0.165	0.373	5.236	3.875	5.853	5.171	0.958	0.59	6.635	7.011	3.06	1.303	3.368	2.596	0.598	1.439	0.461	3.93	0.253	0.733	0.243	0.115	0	0	1.1	1.552	8.54	3.842	3.577	3.644	6.043	3.492	4.877	3.922	0	0	0	1.79	0	0	0	0	0	0.169	2.969	0.51	0	1.705	0	0.17	0	5.345	3.113	0	0	0	0	1.837	0	0	0	0	0	0	0	0	0	0	1.015	0	0	0	1.002	0	1.195	0	0	0	0	0
RTN1	1.572	2.267	2.245	0.923	0.796	0.331	1.702	1.683	0.918	0.74	0.356	0.432	3.724	0	0	0	0.293	0	1.029	2.621	1.895	0.798	0.691	1.648	0	0	0	0	0	0	4.872	0	0	0.146	0.717	0	0	0	0	0	0	0	0	0.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHL14	0.302	0	0	0	0	0.114	0.122	0.105	0.256	0.151	0.174	0	0	0	0	0	0	0	1.096	0.211	0.236	2.138	0	0	0	0	0	0.223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM21P1	0	0	0	0	0.156	0.149	0	0	0	0.105	0	0.107	0	0	0.218	0	1.182	0	0.618	0	0.157	0	0.888	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.896	0	0	0	0.926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB12	0	0	0.194	0	0.214	0.131	0	0.196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.271	0	1.25	0	0	1.679	0	1.626	0.797	25.175	2.51	1.515	3.435	0.157	4.096	0	0.107	0	0	1.138	0.338	1.424	0	0.703	2.149	0	1.715	0	0.3	0	0	0	0	1.597	0.15	0	0.22	0	0.122	1.359	0	3.032	0	0	2.715	0	0	0	0	0	0	0	0
CENPQ	13.853	11.112	10.729	46.723	41.876	41.96	36.551	37.024	35.977	37.01	27.038	18.245	23.613	9.458	13.834	29.069	9.763	16.659	21.17	6.436	14.752	11.857	11.068	9.988	12.549	7.491	1.417	12.315	14.274	12.062	26.058	15.561	7.481	23.166	11.09	34.812	3.429	2.529	8.789	33.312	9.374	0.306	51.571	20.949	26.914	25.261	3.965	21.996	53.571	25.589	42.692	34.716	8.78	33.167	4.513	9.998	17.546	8.684	13.366	47.259	10.154	11.031	18.894	31.803	0.551	7.273	24.346	7.715	11.697	3.316	5.812	16.489	10.141	1.954	38.193	2.425	0.395	4.352	14.15	16.212	111.12	28.622	0.947	0	0.105	0	9.116	9.532	2.165	0.207
ZAR1L	1239.201	760.011	785.935	396.745	724.91	358.623	528.403	392.64	316.408	289.594	376.433	434.689	454.133	397.504	439.248	423.31	299.728	198.117	261.53	222.766	383.507	399.661	443.638	463.551	74.945	120.881	70.053	66.095	14.525	5.514	20.266	4.599	8.954	14.454	21.013	28.045	22.691	14.167	46.339	15.679	50.891	55.106	60.572	23.73	26.26	0	11.469	11.583	1.075	0	3.819	74.357	10.862	0.993	0.948	0	12.717	8.692	5.718	6.917	0.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.376	0	0	0	0	0.185	0	0.205	32.881	0	0	0	0
DTNBP1	30.367	35.945	45.285	29.762	29.361	27.542	18.631	17.384	15.132	19.674	12.839	11.588	49.872	64.056	62.385	67.306	17.878	9.618	27.423	43.241	43.929	34.079	37.734	48.486	13.383	13.843	5.144	17.751	6.367	4.607	5.54	14.673	12.572	6.622	4.573	6.717	4.233	11.062	21.725	1.095	4.689	0.168	0	0.712	8.341	22.802	11.699	5.332	12.15	12.026	4.874	0.336	17.88	5.443	1.65	0.155	1.021	1.279	4.353	8.308	0	0	4.546	0	13.909	38.615	0.771	0	7.854	0.304	3.718	3.62	0.992	3.052	48.045	2.947	0.148	11.231	1.624	4.358	0	0	14.482	18.878	8.13	25.556	13.385	0.101	5.487	5.48
KBTBD8	0.639	1.1	0.658	5.828	4.16	5.546	3.73	4.012	3.853	3.977	3.704	3.513	5.126	3.259	3.734	1.981	1.009	2.144	3.472	2.699	3.875	3.734	1.51	3.504	0.93	17.457	8.268	7.023	6.21	5.008	0.413	6.033	10.329	6.843	12.011	13.517	4.427	1.613	0.603	5.188	2.253	0.158	3.33	0	2.092	0	0	1.633	2.044	0	1.227	1.152	0.302	0.117	0	0.706	0	0.662	0.492	3.067	0	0	0.417	0.887	0	0.557	0	0.537	0	0.106	0	0.208	2.496	0.307	0.408	0	0	3.894	0.454	2.306	7.72	0.521	0	1.896	0.407	0	0.131	1.387	0	0
ZEB1	2.556	3.367	3.112	4.071	3.208	4.142	3.353	3.133	2.317	2.778	3.679	4.481	1.015	16.389	6.831	8.416	14.523	13.138	12.745	6.96	9.315	12.87	10.217	5.949	5.234	5.203	1.426	0.101	0.107	1.436	2.504	1.482	3.729	0.264	0.83	1.204	0	0.768	1.662	0	0	0	5.521	3.78	6.119	0	29.017	0	0.29	0	2.933	0.299	0.843	2.177	2.835	0	0.422	0	0	2.191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZG16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.326	0	0	0	0	0	0	0	10.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIER1	5.75	7.134	5.633	10.958	7.371	13.024	6.119	6.088	8.221	7.996	8.433	5.732	11.944	15.364	30.626	17.246	5.379	4.716	4.097	2.98	6.465	9.924	6.76	6.439	1.055	19.845	14.578	10.82	12.684	9.078	11.629	11.945	7.319	14.299	11.414	6.487	11.228	8.659	7.473	5.487	6.875	5.04	1.389	9.24	14.389	18.823	2.248	16.542	10.97	14.947	19.277	0	3.244	9.547	13.614	5.524	0.212	10.74	6.012	4.74	16.136	11.784	12.071	1.598	10.628	13.365	15.922	0.893	4.888	1.873	2.768	4.254	4.486	2.362	0.946	5.464	15.214	10.435	3.047	32.925	0.639	13.255	0	1.288	4.306	0	0	0	0.624	0
CHD9	1.667	1.627	1.402	1.918	0.787	1.106	1.081	1.45	1.408	1.046	0.815	1.013	1.567	1.813	2.547	0	2.271	2.981	0.722	1.08	1.48	0.769	0.834	1.453	2.832	4.265	1.239	5.681	0	1.96	0.609	2.325	0.413	1.493	0	0.874	1.916	2.742	0	1.155	1.809	0.587	1.199	0.144	4.657	1.763	18.856	1.641	0.476	0	3.753	6.277	0.452	1.282	0.168	0.378	2.947	1.813	0.104	0.237	6.043	0.57	0	0	0	0.211	0	0	0	0	0.336	2.24	0	0	0	0	0	0	0	0	0	3.8	7.216	0.803	0	0.661	0.107	0	0	0
ADAM5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565	0	0	0.26	1.677	0	0.514	2.36	2.14	0	0	0	1.715	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0	0.265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STK16	0.532	0.257	0.329	2.198	2.073	1.935	1.639	2.294	1.826	2.743	2.353	2.454	1.43	0	6.074	0	2.783	0	3.23	3.047	1.638	2.171	5.434	1.761	15.526	3.244	2.749	2.264	0.358	0.676	2.585	2.626	0	1.859	0	0.203	0.346	0.849	0.265	0.351	1.787	0	3.193	1.681	1.09	0	6.931	1.359	0.101	3.606	2.17	0.376	7.483	1.405	2.682	0	0.444	0.134	0.41	1.613	0	11.333	0.423	1.701	2.409	0	0	6.133	1.439	1.929	9.933	0	0.699	4.424	0.129	2.107	0	13.346	3.387	29.815	0.736	0.215	0	12.96	4.547	0	42.171	1.422	0	4.205
ARID3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.441	0	0	0	0	0	0	0	0	0	0	0	0	0	2.071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1486	2.517	4.02	3.197	1.522	2.433	1.208	0.982	1.24	0.713	0.852	0.333	0.375	0.657	4.811	0.18	2.476	0.29	3.44	1.727	0.235	1.27	0.648	0.17	2.158	0.451	1.726	1.094	0.275	0.341	0.106	0.164	0.213	0.315	0.481	0.318	0.11	0.56	0.529	0.106	0.938	1.406	3.124	0.607	0.442	1.555	0.321	2.124	1.077	0.844	0	0	0.459	0.251	0.315	0.403	0.342	0	0.415	0.427	0.517	0	0	1.463	0.276	0.288	0	0	0	0	0	0.102	0	0	0.203	0.131	0	0	0	0	0	0	0.189	0.253	0	0	0	0	0	0	0
TOB2	7.987	8.073	7.435	5.752	3.775	5.045	3.54	4.096	4.002	3.305	3.989	3.722	1.551	7.708	0.809	2.318	1.715	2.569	5.541	1.853	4.589	3.478	3.017	4.103	13.313	9.948	11.105	8.447	4.065	5.241	8.71	6.466	2.551	1.678	1.779	5.915	4.974	3.587	3.391	14.79	11.383	3.003	4.973	12.356	13.062	13.988	15.299	12.953	7.897	12.279	14.539	14.168	10.612	11.257	7.01	22.636	2.425	7.305	14.936	15.227	0.473	7.893	9.465	4.75	1.228	5.241	0.939	1.936	6.61	7.672	6.147	14.572	4.685	21.655	6.602	5.843	0.109	15.018	11.24	1.159	4.26	13.661	27.166	15.133	10.806	2.188	3.304	6.962	9.253	1.01
BANK1	2.968	2.803	2.526	2.503	2.433	3.168	0.83	1.251	1.516	1.81	1.56	1.404	7.739	1.269	10.206	0	3.118	3.123	3.998	3.701	3.749	9.753	3.532	7.045	6.559	8.567	3.521	4.712	0	0	0	2.787	0	2.646	1.166	0.515	6.86	0	0	0	1.432	9.313	0	2.256	0	0	35.517	1.865	0	0	3.04	0.885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2V2	0.389	0	0.128	0	0.168	0.129	0	0	0	0	0	0.271	0	0	0	0	0	2.816	0.514	0	0.679	0.903	0.768	1.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFTA2	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0.237	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRM2	0	0	0	0	0	0	0	0	0.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	3.882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.211	6.042	0.21	0.878	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROSC	71.811	59.952	65.257	36.539	30.944	45.081	21.694	25.831	21.733	23.314	14.844	16.626	9.533	35.661	22.584	16.726	26.358	0.824	21.387	5.83	12.384	26.904	18.539	11.248	2.958	8.979	4.149	0	8.096	26.591	7.449	18.539	21.888	2.338	4.051	6.047	23.817	25.027	10.615	7.573	8.853	23.737	2.889	6.944	4.951	12.529	0.411	7.875	3.294	0.922	18.241	0	8.862	15.144	7.514	1.814	53.619	6.933	11.384	6.778	4.12	57.787	12.803	0.719	49.447	42.124	45.178	38.951	37.409	29.727	10.197	10.547	35.855	0.895	1.682	54.872	0.724	18.001	8.969	45.412	45.253	79.489	12.053	20.343	29.916	3.277	39.24	7.154	11.912	2.413
SPIN2B	0	0	0	0	0.127	0.145	0	0	0	0	0	0	0	0	0	0	0.385	0	0	0	0	0	0	0	0	0	0	0	7.286	0.129	18.794	5.684	0.128	40.544	3.409	7.609	0	0	0	7.491	0	0	0	0	4.594	0	0.209	1.99	0	21.372	0.304	0	0	0.158	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.01	0	0	0	0	0	0	0
PIR	0.843	0.191	0.138	0	0.913	0	0.529	0.465	0	0.623	0.233	0	0	0	0.121	0	3.202	0	0	0	0	2.553	1.427	0	0	0	0.28	1.929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.635	11.153	14.53	33.209	0.323	2.343	36.45	22.489	0	26.336	31.356	16.859	9.213	3.124	0.153	9.159	57.179	124.468	69.737	5.144	1.034	0.48	134.014	20.742	8.465	53.489	1.917	106.667	46.256	94.033
IPO9	5.501	5.984	5.692	5.617	5.417	5.562	4.224	3.742	4.577	5.633	3.347	3.221	4.852	3.366	4.478	9.604	4.724	2.411	4.564	5.057	5.653	3.72	5.286	3.388	3.303	2.962	5.889	7.845	4.413	4.398	3.022	5.525	5.508	1.01	4.613	1.905	5.438	7.44	9.015	2.158	10.369	9.464	1.941	2.035	5.551	3.532	0.231	4.387	4.446	4.266	5.736	0.575	1.155	4.476	7.86	3.924	1.207	1.518	1.419	2.708	6.252	10.644	12.365	4.774	10.827	9.501	9.423	10.678	4.149	20.33	3.165	7.982	6.158	5.847	23.356	10.94	16.387	11.636	5.935	2.809	10.838	2.661	0.472	9.696	10.5	8.661	9.973	0	14.309	4.462
FLJ26850	0.739	1.082	1.096	0	0.223	0	0.151	0	0.132	0	0	0.332	0	0	0	0	0.197	0	0.102	0	0	0	0	0	1.157	0	0	1.47	0	0	0	0	0	0	0	0	0	0	0	0.763	0	0	0	0	0	0	0	0.762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EVC	0.115	0.334	0.329	0.475	0.471	0.739	0.209	0.24	0.266	0.281	0.217	0.416	1.198	0	0	0	0.395	0	0.144	0	0.794	0.127	0.574	1.903	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0.343	0	0	0.318	0.926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173	0	0	0	0	0	0	5.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1199	0	0.184	0	0.316	0.113	0.198	0.11	0	0.208	0.127	0.271	0.16	0	0	0	0.577	0	0.335	0.44	1.062	0.312	0.315	0	0	0	0.32	0	0	0	0	0	0	0.533	0	0	0	0	0	0	0.429	0	0	0.865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SORL1	1.492	1.451	0.901	0.832	0.665	0.619	0.313	0.461	0.391	0.287	0.296	0.292	1.707	0	0.848	1.103	0.473	1.794	0.895	0.109	0.67	0.871	0.471	0.279	1.454	0.35	0	1.813	0	0	0.63	0	0	0	0	0	0	0	0.878	0.291	0	0	0	0	2.029	0	0	0	0	0	0	1.073	0.192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.005	1.537	0.363	2.164	0	0	4.609	0	0	5.49	0.105	0	0	0	0	0	0	0	0.844	2.553
NAT10	2.712	3.367	3.991	12.209	18.622	16.665	11.559	13.492	18.536	16.851	11.143	9.907	15.438	17.123	9.021	12.524	18.253	24.729	13.931	18.922	18.74	11.22	18.577	13.553	7.077	8.159	8.032	6.832	14.442	7.347	6.198	5.189	0.755	12.266	5.579	15.188	11.426	1.737	5	14.659	2.054	9.943	7.012	8.544	0.135	8.911	0	9.392	10.214	14.503	3.317	6.728	8.391	7.494	3.065	7.856	9.451	7.488	3.629	1.679	5.947	13.853	15.807	4.71	14.02	9.217	13.72	10.767	1.391	14.203	12.08	18.477	11.616	1.191	16.187	14.888	13.981	12.253	16.893	3.441	8.646	7.061	1.856	13.533	11.268	5.493	12.845	6.638	18.104	3.894
CHD1	15.915	24.165	20.317	26.041	15.25	26.265	11.34	11.559	11.056	13.141	7.25	7.288	6.772	6.143	16.418	8.178	1.7	2.006	5.41	2.403	2.746	2.016	3.132	4.563	18.377	24.794	25.094	6.723	50.463	58.751	27.932	55.992	25.92	24.257	36.099	53.373	15.314	21.571	30.68	33.943	29.506	18.9	19.926	32.772	33.743	16.09	43.68	33.753	14.596	27.344	21.945	68.274	15.866	18.835	24.695	33.941	24.602	9.049	9.928	29.097	15.398	19.683	16.442	18.659	6.529	9.099	12.08	14.16	35.118	19.2	6.513	7.921	11.594	37.869	2.91	14.791	10.305	14.249	21.33	12.503	4.514	19.155	1.426	7.042	16.334	2.066	2.873	0.384	4.774	13.292
SYN3	0.528	1.481	1.539	2.356	3.787	2.213	2.553	1.269	0.756	2.15	2.671	1.691	0.188	0	3.123	5.273	3.986	0	3.859	0.321	4.867	2.026	5.414	4.938	4.51	1.014	6.593	0	0	0	0.171	0.312	0	0	0.262	0	0	0	0.14	1.405	0	1.156	0	0.158	6.541	0	0	0.327	0.201	0	1.098	0	0.65	0.159	0.41	0.759	0.601	0.645	2.389	0	0	0	0.859	0	0	0	0	0	0.872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC22A2	4.123	4.24	3.318	2.188	2.446	2.959	7.346	7.443	4.496	7.118	0.191	0.189	10.111	3.309	0	0	1.848	2.326	2.847	1.734	1.457	1.702	0.497	3.328	4.756	2.309	3.607	0	1.394	1.162	0	0	1.119	0	0	0.353	0.115	0	0	1.026	1.022	0	0	0	1.218	0	0	0	0	0	0	0	0	0.119	0	0	0	0	1.323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINF1	60.821	99.908	90.956	43.455	56.898	51.362	24.513	38.246	40.712	39.465	32.245	44.672	58.358	62.445	138.31	65.534	166.972	122.274	148.43	166.316	141.7	117.611	136.832	118.678	143.004	98.457	96.708	97.421	43.617	58.837	72.04	75.589	122.922	17.96	27.18	61.413	78.707	140.501	94.639	116.369	93.668	161.818	110.327	135.287	52.726	32.336	214.292	33.206	56.43	5.212	90.445	79.682	100.252	129.123	107.738	74.191	54.82	103.138	143.856	69.093	58.301	14.572	0	0	5.354	0.121	17.582	1.137	0.189	1.286	16.444	0	0	0	0	0	0	0	1.702	0	0	0	0	0	0	0	19.61	0	0	0
WDR34	11.724	10.562	12.457	7.949	11.629	10.39	10.222	10.039	10.676	12.53	6.773	7.714	10.888	25.593	7.529	11.669	16.873	20.654	22.958	9.978	16.454	13.377	29.046	21.71	0.608	18.948	11.787	41.549	4.714	16.193	0.118	0	3.224	2.506	2.359	0.209	16.456	1.845	21.019	8.542	6.462	9.342	8.188	0.8	2.917	10.251	61.755	15.221	13.654	22.137	10.32	0.129	27.597	18.981	5.661	7.447	1.868	8.484	6.095	4.01	48.739	13.932	12.088	79.71	22.225	21.2	14.219	18.438	55.07	40.006	20.34	42.49	10.021	17.783	0.663	5.95	88.229	68.72	40.933	25.796	1.377	34.953	8.7	33.196	32.018	16.972	33.921	18.7	32.401	148.315
OR7A17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POTED	0	0	0	0.111	0	0.267	0.142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256	0.688	0	0	0	0	0	0	0.942	0	0	0	0	0	0	0.338	1.146	0	0	0	0	0	0	0	0	0.422	0	0	0	0.257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	1.065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPT1	1.625	2.018	1.827	5.851	3.317	4.962	3.032	2.245	3.725	3.014	4.05	3.171	9.466	2.972	3.042	5.98	6.698	6.744	2.992	4.029	3.16	5.379	6.796	3.518	12.531	10.703	5.694	10.809	4.684	6.954	2.71	8.322	3.971	4.237	4.703	11.314	4.175	4.86	4.916	5.679	10.97	2.189	0.49	1.417	4.985	1.955	0	2.701	4.435	4.264	6.956	0	3.932	5.464	4.035	5.503	8.721	2.762	4.97	5.318	2.739	4.336	8.555	19.934	5.185	8.12	10.916	6.991	10.938	10.636	22.156	17.033	5.432	6.699	2.2	17.425	2.548	4.16	12.354	14.308	0.334	6.229	0.109	3.304	10.432	3.366	6.473	1.572	15.641	18.708
RNF216L	72.767	50.909	60.688	25.708	34.371	43.464	40.787	44.864	44.779	52.397	40.014	35.229	6.02	4.483	27.871	27.808	34.793	35.446	40.872	35.858	49.678	51.612	45.852	32.053	16.867	8.536	25.066	34.322	51.1	47.129	48.289	80.193	149.12	83.487	99.519	110.772	18.961	20.562	12.711	8.722	38.361	76.378	47.877	55.808	119.939	67.75	62.196	119.549	71.662	89.527	69.232	25.479	54.039	73.625	61.127	43.808	55.597	63.081	65.221	27.722	26.145	4.911	14.935	14.226	0	0.537	21.268	23.783	2.63	38.901	17.897	12.449	4.771	23.375	27.968	16.702	1.405	22.345	8.523	22.306	38.049	30.304	0.197	27.096	5.951	0.142	9.294	0.109	0.477	16.477
LHB	0	0	0.231	0	0.306	0	0.415	0.156	0.182	2.305	0.836	0	0	0	0	0	0	0	1.305	0	0	0	0	0	0	0	0	10.697	0	0	1.029	17.21	10.768	2.909	22.551	0.729	7.224	0	5.036	0	6.452	1.485	0.858	10.63	0.782	2.067	0	2.337	4.543	0	13.693	0	1.303	0	4.159	0	25.667	4.677	7.837	12.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
