"","OoCyte_1","OoCyte_2","OoCyte_3","Zygote_1","Zygote_2","Zygote_3","X2_Cell_embryo_1_Cell_1","X2_Cell_embryo_1_Cell_2","X2_Cell_embryo_2_Cell_1","X2_Cell_embryo_2_Cell_2","X2_Cell_embryo_3_Cell_1","X2_Cell_embryo_3_Cell_2","X4_Cell_embryo_1_Cell_1","X4_Cell_embryo_1_Cell_2","X4_Cell_embryo_1_Cell_3","X4_Cell_embryo_1_Cell_4","X4_Cell_embryo_2_Cell_1","X4_Cell_embryo_2_Cell_2","X4_Cell_embryo_2_Cell_3","X4_Cell_embryo_2_Cell_4","X4_Cell_embryo_3_Cell_1","X4_Cell_embryo_3_Cell_2","X4_Cell_embryo_3_Cell_3","X4_Cell_embryo_3_Cell_4","X8_Cell_embryo_1_Cell_1","X8_Cell_embryo_1_Cell_2","X8_Cell_embryo_1_Cell_3","X8_Cell_embryo_1_Cell_4","X8_Cell_embryo_2_Cell_1","X8_Cell_embryo_2_Cell_2","X8_Cell_embryo_2_Cell_3","X8_Cell_embryo_2_Cell_4","X8_Cell_embryo_2_Cell_5","X8_Cell_embryo_2_Cell_6","X8_Cell_embryo_2_Cell_7","X8_Cell_embryo_2_Cell_8","X8_Cell_embryo_3_Cell_1","X8_Cell_embryo_3_Cell_2","X8_Cell_embryo_3_Cell_3","X8_Cell_embryo_3_Cell_4","X8_Cell_embryo_3_Cell_5","X8_Cell_embryo_3_Cell_6","X8_Cell_embryo_3_Cell_7","X8_Cell_embryo_3_Cell_8","Morulae_1_Cell_1","Morulae_1_Cell_2","Morulae_1_Cell_3","Morulae_1_Cell_4","Morulae_1_Cell_5","Morulae_1_Cell_6","Morulae_1_Cell_7","Morulae_1_Cell_8","Morulae_2_Cell_1","Morulae_2_Cell_2","Morulae_2_Cell_3","Morulae_2_Cell_4","Morulae_2_Cell_5","Morulae_2_Cell_6","Morulae_2_Cell_7","Morulae_2_Cell_8","Late_blastoCyst_1_Cell_1","Late_blastoCyst_1_Cell_2","Late_blastoCyst_1_Cell_3","Late_blastoCyst_1_Cell_4","Late_blastoCyst_1_Cell_5","Late_blastoCyst_1_Cell_6","Late_blastoCyst_1_Cell_7","Late_blastoCyst_1_Cell_8","Late_blastoCyst_1_Cell_9","Late_blastoCyst_1_Cell_10","Late_blastoCyst_1_Cell_11","Late_blastoCyst_1_Cell_12","Late_blastoCyst_2_Cell_1","Late_blastoCyst_2_Cell_2","Late_blastoCyst_2_Cell_3","Late_blastoCyst_2_Cell_4","Late_blastoCyst_2_Cell_5","Late_blastoCyst_2_Cell_6","Late_blastoCyst_2_Cell_7","Late_blastoCyst_2_Cell_8","Late_blastoCyst_2_Cell_9","Late_blastoCyst_2_Cell_10","Late_blastoCyst_3_Cell_1","Late_blastoCyst_3_Cell_2","Late_blastoCyst_3_Cell_3","Late_blastoCyst_3_Cell_4","Late_blastoCyst_3_Cell_5","Late_blastoCyst_3_Cell_6","Late_blastoCyst_3_Cell_7","Late_blastoCyst_3_Cell_8"
"BTG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834,0,2.119,0,0,0,0,0,0,6.058,5.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,2.506,0,4.279,0,7.732,0,0,0,0,13.442,0,0.365,2.122,38.861,0,0,0,0,0,0,10.922,3.7,3.645,0,0,14.186,0,8.914,14.797
"ABCC6",21.109,16.039,19.181,15.105,11.696,15.233,18.942,15.469,15.862,18.348,12.307,14.937,18.385,9.17,21.764,30.858,29.569,25.982,27.109,24.51,26.594,22.408,26.962,28.159,52.524,47.865,48.924,50.205,5.68,5.516,3.508,4.886,8.915,4.182,2.497,7.558,14.417,16.204,15.167,17.06,9.475,17.129,6.461,15.648,5.236,0.479,4.945,3.238,1.823,3.504,1.771,15.756,3.375,2.823,1.556,1.08,0.332,1.932,1.349,0.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPB41L4B",7.593,9.735,7.871,10.4,9.883,10.268,6.493,6.012,7.164,6.781,8.478,10.129,8.854,8.562,1.78,4.395,7.453,11.65,6.497,7.407,7.785,8.04,6.737,8.246,0.532,6.315,2.129,0.812,3.487,4.478,4.701,0,2.476,0.136,0,0,3.536,1.132,0.585,1.221,0,0,0,1.461,9.532,5.891,2.551,8.345,5.159,0.758,3.386,1.092,4.511,0.5,0.288,0,6.574,0.833,2.903,0.375,1.691,0.749,0,0.434,0,0,0,0,0,0,1.868,0,0.834,6.749,0.324,0.213,0,0,0,0,0,0,0,0,1.787,13.507,8.542,0,0,0
"FAM134B",5.338,7.422,6.312,2.14,0.567,1.319,0.455,0.54,0.411,0.439,0.243,0.249,0,0,0,3.677,0,0,0.256,0,1.479,0.92,1.141,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.761,0.349,0,4.461,0,0,0,0,0,0,0,0,0,0,1.293,0,0,0,0,0,0,0.108,0,0,0,0.144,0,0.165,9.014,0.459,0,0,0,0,0,4.501,0,0,0,0,0,0,0,0,0,0,0,0,7.229,1.953
"CPXM2",2.275,1.208,0.308,0.109,0,0,0.116,0,0.102,0,0.141,0.118,0,0,0.342,6.625,5.994,7.98,6.74,6.108,1.522,1.717,1.94,0.771,0,1.045,0.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.644,0,0,0,0,0,0,0,0,0,0
"SIRPB2",0,0,0,0.144,0,0.172,0,0.172,0,0.212,0.139,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0.12,0,0.651,0.181,0,0,0.18,0.662,0,0,0,0,0,0.21,0.15,0.14,0,0,0.628,0,0,0,0,0,0.103,0,0.133,0.115,0,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIB3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,0,0,0,0,4.14,0,0,0,0,0,0.302,0,0,2.026,12.091,0.215,3.774,1.646,11.215,1.98,0,50.864,5.853,29.83,63.862,42.183,42.243,16.072,17.785,0,5.116,0.117,2.542,0,0,0,0.249,0,0,0,3.184,0,0,0,0,0,1.601,0,5.759,0.17,0,0,0,15.771,0,5.609,0,5.29,95.364
"SLC2A5",0.208,0.657,0.347,0,0.655,0.4,0.196,0.133,0,0,0.43,0.436,0,15.037,0,0,0,0,0.959,0.325,3.433,0,1.728,0,4.904,0,0,3.46,0,0.133,0,0,0,0,0,0,0,0.344,0,0,1.86,0,0,0,2.065,0.765,0,0.211,3.245,2.881,5.239,0,7.237,7.277,0.33,0,0.775,0.171,2.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AQP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC12A8",15.865,13.898,13.341,14.235,12.486,11.203,14.078,13.568,13.379,13.55,7.543,8.956,12.024,8.816,22.693,28.444,17.822,10.149,17.999,25.547,23.702,7.865,27.291,31.523,3.544,2.702,4.084,7.808,0,0,0.214,0,0.114,0,0.728,0,0,0.138,0,0,0.72,0,0,0.24,1.958,0,0.376,0,0,0,0.109,0.267,0,0,0.115,0,0,0,0,0,0,0,0.851,0,0.106,0,0,1.216,0,0,0,0,0,0.348,0.229,0.178,0,0,0,0.177,0,0,0.117,0,0,0,0,0,0,0
"NFIA",0,0,0,0.293,0,0,0,0,0,0,0,0,2.72,0.167,1.457,0,0,0.17,0,0,0,0,0.608,0.363,1.304,0.903,0,0.589,0.181,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,0,0,0,0,0,0,0,0.156,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,0,0,0,0,0,0,0
"UFSP1",0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.843,0,0.424,0,0,0,0,0,0,0,0,1.376,1.821,0,0,4.477,0,0,0,0.958,0,0,0,0,0,0,0,0,5.26,0,0,0,0.419,3.687,0,0,0,0,0,0,0,0,0,0,0,0,1.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTPN22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0,0,0,5.844,13.542,5.157,15.886,1.101,5.696,0,2.312,21.315,47.494,14.962,11.826,12.412,16.115,1.761,12.602,9.191,0.323,0,0.493,1.019,0.672,0,0,0.861,0,0,0,0,0,0.187,0.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGA3",0.174,0,0.168,0.567,0.413,0.158,0.267,0.526,0.463,0.633,0.591,0.852,0,0,6.536,5.576,0,1.306,0,1.203,1.064,1.088,0.455,0.25,0.151,0.676,0.609,0.189,0,0,0,0,0,0.124,0,0,0,0,0,0,0,0,0.614,0,0,0,0,0.358,0,0,0,9.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0
"PHLDB3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0,0.582,0,0,0,0,0,0.492,0,0,0.228,0,0,0,0,1.064,0,0,0,0,0,0,0,0,0,7.843,1.262,0,1.755,3.209,9.651,4.925,0.188,0.673,1.361,1.099,0,0.329,0.359,3.905,4.497,0.39,0,0.184,0,0.149,0,0,0,1.027,0,1.132,0,0,0,0,0,0,3.542,0,0,0,0,4.686,0,0,0,0,0,0,0
"CDK20",8.375,13.593,12.376,7.293,7.675,6.294,3.913,5.287,4.962,4.602,3.105,3.584,1.343,6.953,0,10.274,6.786,0.195,4.679,5.299,6.743,4.868,8.043,2.011,5.43,1.065,0.154,5.287,4.55,1.967,0.899,11.067,5.004,0,1.603,1.246,5.823,10.966,0,11.366,5.081,1.96,3.54,2.129,2.502,3.651,0,5.263,1.521,0,0.374,3.43,0,3.52,0.773,1.314,0,0,0,0.213,0,0,0,0,0,0,0,0,0,0,2.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512,0,7.242,0,0,0
"RAPGEF6",4.088,7.442,5.477,7.036,4.313,6.065,2.942,3.124,4.412,3.77,4.763,3.426,2.14,11.383,2.807,9.146,4.88,4.557,3.454,2.371,3.685,3.466,4.745,5.211,2.135,5.082,2.441,1.961,3.931,1.22,0.462,1.641,0.958,1.927,1.481,0.931,1.503,1.665,0,0.11,2.11,0,1.129,0.649,2.329,0,0,0.59,1.179,1.463,1.569,21.702,0.268,0.475,0,0.75,0,0.163,0.264,0.755,0.542,2.264,0,3.744,1.281,0.533,0.133,0.473,2.904,5.387,4.458,4.448,0.236,0,0,6.09,5.646,1.47,0.262,0,0,0,0,0.974,0,0,0.973,0,1.469,1.124
"NEIL1",0.974,0.926,0.575,0.323,0.169,0,0,0.172,0,0.182,0,0.194,0,0,0,3.991,0,0.112,0.927,0,0,0,0,0,0,0,0,0,2.918,0.729,0,0,0.722,0,0.386,0,1.052,0.631,1.545,0,0,0,0,5.73,1.547,1.661,0,0.408,0,0,0,0.124,0.803,0.29,0,0,0,0.378,0.316,1.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,1.541,0,0,0,0,0,0,0,0,0,0,0,20.925,0,0,0
"DNAH17",0.745,0.933,1.021,1.587,2.297,3.406,1.424,1.475,1.726,2.359,0.897,1.067,5.14,4.682,5.5,4.115,1.815,3.372,2.96,2.389,2.373,1.382,2.53,2.502,2.099,2.825,2.998,3.079,0.125,0.822,0.321,0.958,2.025,0,0.446,0.49,0.166,0.84,0.376,0.571,0.441,0.503,0,1.841,0,0.436,0,0.604,0,0.591,0,0,0.255,0.21,0,1.152,0,0,0.112,0,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0,0,0,0,0,0,0.137,0,0,0,0,0,0,0,0,0
"SLFN12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,3.583,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETNK2",0.67,0.613,0.347,0.39,1.407,1.028,0.598,0.343,1.728,1.96,0.987,1.137,0,0,0,0,4.687,0,2.387,2.456,1.695,1.767,0,0.894,3.653,0.271,0.845,0.283,0,0,0,0,0,0,0,0,4.495,0.44,6.418,0,0,0,0,0,0.13,0,0,0.148,0.182,0.389,0,0,0,0,0,0.706,0,0,0.131,0,0,0.2,0,0.597,0,0.428,0,0,0,5.966,0.252,0.498,0.721,8.839,24.372,0,0,0,0.136,10.777,0.26,0,0,0,0,2.094,0.771,0,0,5.208
"APOE",0.156,0,0,0.173,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.341,0,0,0,0,0,1.458,0,0,0,0,0,0,0,0,1.2,0.637,0,0,1.706,0.341,0.576,0.368,0,0.301,6.336,0,0,128.721,63.287,2.536,49.001,26.152,0.269,0.458,15.231
"ST8SIA4",0,0,0,0.161,0.139,0.116,0.103,0.109,0.113,0.19,0,0,0.301,0.19,0.267,0.149,0,0,0,0,0,0.306,0,0,0.219,0.19,0.174,0.15,0.236,0.128,0.136,0.203,0.178,0.142,0.231,0,0.164,0.657,0.216,0.145,0.146,0.201,0,0.121,0.237,0,2.002,0.183,0.125,0.161,0,1.335,0.149,0.236,0.254,0.317,0,0.198,0.337,0,0.153,0,1.026,0.128,0.126,0,0,0,0,0,0,0.257,0.172,0.239,0.397,0.43,0,0,0.101,0,0,0.187,0.388,0,0,0,0,0,0,0
"OPHN1",0.66,0.239,0.537,0.919,0.954,0.809,0.61,0.632,0.819,0.942,0.418,0.545,0.209,1.141,0,0.445,0.756,1.259,0.93,0.382,0.817,1.136,0.373,0.419,2.999,1.945,1.87,2.883,1.118,0.862,1.056,0.633,0.32,0.44,0.57,1.103,0.798,1.225,0.905,0.6,1.544,4.521,0.754,0.574,1.201,1.537,9.591,1.211,0.346,0.752,0.305,11.578,0.896,1.554,0.908,0.777,1.587,0.554,1.087,1.028,0.855,0.243,1.151,0.689,1.524,0.383,0.124,0.648,0.174,0.498,0.374,0.144,0.552,0.677,0.454,1.429,0.848,0.135,0.791,0.606,0.353,0.146,3.405,0,0.391,1.242,0.838,0.133,0.138,0
"GAS2L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.772,0,0,0,0,0,0,1.889,2.412,1.488,0.178,0,5.01,0.472,0.66,2.304,0.186,1.386,0.984,11.276,1.401,4.256,0,0,0.571,0,0,0,2.815,0,3.078,5.845,0.343,1.034,0,2.685,2.639,0.109,8.539,1.784,1.809,2.676,2.919,0,0,5.54,0,1.553,10.969,0,2.932,0,1.027,0.919,1.829,5.181,0,0,0.535,0,0.28,0,0.666,0,0,0,9.406,4.282,0,0,0.143,4.623,0
"BCL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PA2G4P4",1.389,1.654,1.361,1.208,1.218,1.373,1.213,1.167,1.087,1.344,1.524,1.131,1.275,2.074,4.802,2.894,1.115,1.093,1.397,0.955,1.432,1.636,1.398,1.056,0.703,0.437,1.558,0.689,1.544,1.857,2.422,0.533,1.401,1.405,1.924,0.737,0.422,1.332,1.362,1.155,0.787,0.922,0.742,0.682,1.162,3.78,8.526,3.874,4.253,4.149,4.547,0.341,3.651,3.801,3.566,3.386,3.224,3.788,6.072,2.938,9.551,13.225,6.987,12.388,13.399,9.949,11.588,13.486,10.292,9.721,9.621,11.066,9.465,5.014,5.952,16.49,12.396,13.215,12.881,4.639,10.348,16.562,4.015,3.867,5.697,4.007,4.142,7.446,5.174,2.657
"KIAA1324",0.334,0.285,0.18,0.637,0.636,0.641,0.659,0.619,0.817,0.893,0.82,0.828,0.681,0.411,1.213,0.432,0.66,0.373,0.505,0.379,0.435,0.439,0.488,0.403,1.552,1.157,1.394,1.529,1.166,1.119,1.269,0.722,1.017,0.874,1.129,0.586,2.334,1.061,1.101,0.638,0.947,0.732,0.652,1.176,0.861,0.614,6.223,1.388,0.585,0.409,0.563,5.7,1.92,5.263,1.921,1.649,0.599,2.507,3.164,1.222,0.226,0.508,47.91,0.607,1.001,0.238,0.168,0.477,0.228,0.312,0.521,0.755,0.366,0.818,0.472,1.063,0.291,0.308,0.413,0.384,0.779,0.856,0.805,0.149,0.387,0.189,0.898,0.556,0.198,0.311
"PLCL2",0,0,0.175,0,0.212,0,0,0.147,0.103,0.342,0,0,1.565,0,0,0,1.966,0,0.246,3.281,0.785,2.349,0.539,2.25,0,0,2.776,0,0,2.894,6.323,0.516,6.351,0.832,2.024,1.177,0,0,4.907,0.468,0,0,0,0,1.017,3.572,0,2.198,0,0.387,2.832,0,2.309,3.386,4.265,4.688,0.106,4.035,1.829,3.407,0,0,0,0,0,0,0,0,0,0,0.362,0,0,0.173,0,0,0,5.373,0,0,0,0,0,0,0,0,0,0,0,0
"NAALADL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PXDN",26.385,14.524,20.879,21.896,24.73,21.201,11.345,13.35,8.385,10.354,16.749,16,43.639,35.269,46.429,42.387,11.582,17.709,19.572,32.049,26.163,25.849,26.947,19.934,19.989,9.78,18.207,9.716,0.131,0,2.978,1.523,5.969,2.388,1.097,0.753,2.272,2.511,1.392,1.009,0.617,0,0.62,0.252,0,2.042,6.067,2.485,0,0.112,0,0,0,0,0,0,0,0,0,0.812,0,0,0,0,0,0,0,0,0,0,0.344,0,8.217,57.895,25.29,0,0,0,0.343,39.95,0.772,0.352,15.915,14.956,0,56.815,30.738,0.139,0,0.175
"SLMO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,2.621,0,0,0,11.219,0,0,0.831,0,0,0,0,1.181,0,0.136,0,3.014,0,1.671,0,0,1.141,0,0,0,0,0,0,0,0,0.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNXB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0,0,0.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0.361,0,0.102,0,0,0,0,0,0.196,0,0.882,0,0,0,0,0,0,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0
"A4GALT",1.409,0.885,0.895,8.436,7.44,5.566,7.852,8.281,10.554,12.497,10.023,10.332,11.489,7.429,2.025,2.956,6.196,9.475,9.236,15.44,5.038,3.219,6.835,6.692,4.558,6.799,4.099,5.391,4.17,15.281,7.658,2.484,0.384,7.46,0.349,3.88,7.293,13.299,15.015,9.942,13.346,20.204,9.857,14.988,23.932,15.574,0.63,20.971,21.247,18.68,9.888,0.224,46.987,61.868,37.796,32.92,61.218,37.934,28.287,55.811,12.017,38.211,16.025,53.887,9.51,26.446,38.277,37.089,28.459,32.584,13.42,41.295,30.824,35.732,19.409,21.045,76.71,23.983,11.456,8.882,81.607,34.153,112.748,10.427,27.231,57.211,47.844,127.393,51.38,42.92
"PRR22",0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378,0.107,0.466,0.772,0.307,2.711,0,0,1.093,0,0,0,0.532,0,0,0,0.165,0.44,0,0,0,0.114,0.121,0,0,0.451,2.397,0,0.117,0,1.668,0.429,0.325,0,0,0,0,0,0,0,0.219,0,3.456,1.416,0.389,0.142,0,0,0,0,1.955,0,0,0,0,0,0,4.458,0,0,0,1.358,0
"IRS1",0,0.195,0.124,0.264,0.484,0.46,0.382,0.405,0.206,0.212,0.22,0.264,0,0,0,0,0,0.174,0.646,0.346,0.156,0.421,0.238,0.928,0.213,0,0.463,1.061,0.256,0,0.234,0.651,0.552,0,0,0,0,0,0,0,0,0,0,0,0.156,0,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725,4.918,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0
"CDC42EP3",5.238,4.547,6.447,5.539,6.914,3.52,4.766,5.942,3.362,4.146,2.588,3.799,8.512,1.398,7.788,7.763,5.404,12.707,5.132,8.869,2.747,4.278,4.804,6.913,11.536,21.641,12.396,7.092,0,0.306,3.131,0,0,0,0,0.525,0,1.286,0,2.491,0.191,0,3.214,0,1.315,0.542,12.578,0,0,7.369,0,11.537,0,0,0,0,0,1.795,3.854,0.241,0.376,3.586,0,0,4.118,0,0,0,6.452,0,0.189,2.041,0.473,1.985,15.443,0.171,0.514,0,0,0.104,0,0,0,10.773,0,0.247,0,0,0,0
"TSPAN7",19.893,49.892,43.795,17.93,30.277,22.853,12.84,12.971,21.06,19.12,16.667,15.884,9.46,21.524,0.511,15.293,16.547,12.36,28.244,7.637,14.679,15.904,8.897,21.011,36.768,0.784,5.834,3.969,0.206,6.021,8.871,3.928,7.652,14.53,6.572,6.567,8.242,9.415,1.268,0.899,6.753,8.394,8.302,6.509,0.716,4.347,0,6.438,0,0,0.919,54.655,0.116,6.786,0.401,4.861,0.174,0,1.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.926,0,0,0,0,0,0,0,0.132
"SNX25",49.841,62.051,63.311,18.719,24.403,25.692,16.752,14.132,16.337,13.32,16.272,17.44,27.679,44.611,17.117,4.97,23.645,18.048,16.413,18.175,21.847,17.188,22.434,20.202,11.963,5.983,9.402,5.886,7.117,3.67,18.984,11.502,2.657,3.597,2.079,7.656,24.831,26.589,15.664,9.286,18.846,4.597,11.125,15.849,11.162,10.47,8.226,11.542,0,0.607,18.364,0,1.176,6.714,8.08,4.361,4.987,7.025,4.522,6.315,0,0.815,0,0,0,0,10.085,0,7.186,0.265,1.933,0,2.905,15.763,0.533,0,0,0,0,0,0,0,0,0,0,0,1.186,0,0,0
"PCDH18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0,0.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.351,0,0,0,0,0,0,0,0,0,0,0,0,7.496,0,0,0
"MYO5C",0.119,0.495,0.191,0.214,0.378,0.376,0.242,0.35,0,0.21,0,0.163,0,0,0,0,0,0.206,0,0,0.196,0.251,0.358,0.17,0.119,0.69,0.685,0,0.171,0.233,0,0,0,0.317,0.105,1.673,0,1.247,3.253,0,0,0,0.792,1.608,0.127,0.661,0.151,0,0.862,0.424,0.659,0.403,0.623,0.528,0,0.124,1.624,0.478,1.797,2.626,0,3.008,0.518,0.149,1.813,0.681,0,0.743,0,2.831,2.032,0,0.511,3.472,12.605,1.844,2.579,4.42,0,0,0.172,0,0,0.246,0,17.932,4.862,0,0,0
"MAPK10",0.514,1.496,0.918,0.966,1.459,1.678,0.73,0.782,1.206,1.265,0.819,0.695,6.52,3.128,0,0,0.719,3.106,0.716,1.256,3.131,5.615,4.232,1.925,0,0.403,3.314,3.352,0,0,0,0,0,0,0.26,2.95,0.925,2.379,0,0.101,0.295,1.205,3.735,0.836,0,0,0,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUDT12",0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.933,0,0.151,0,0,2.4,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PI4KAP1",0.488,0.551,0.512,0.46,0.947,1.472,0.404,0.431,0.402,0.983,0.222,0.45,1.861,0,0.607,4.861,3.284,3.552,3.793,2.821,2.828,1.544,3.061,2.372,5.355,3.627,9.288,7.053,4.61,1.649,2.322,7.225,3.913,4.708,3.673,2.283,1.949,0.206,11.035,0.523,0.9,0,2.447,2.984,7.865,3.242,6.142,4.516,5.594,5.732,7.463,0,12.303,7.765,8.858,5.737,9.569,4.794,6.32,8.07,11.525,6.343,9.701,25.51,18.936,30.137,7.715,16.237,7.158,7.585,15.629,5.692,8.181,3.623,2.001,23.566,22.279,48.011,21.111,13.101,4.551,11.954,41.686,22.297,33.283,29.88,8.923,6.532,28.131,82.402
"NFIL3",1.348,0.72,0.319,2.019,3.371,3.247,1.165,0.956,0.592,0.433,1.677,1.6,4.185,11.143,11.216,11.391,2.441,0.102,3.853,0.363,1.699,7.408,4.192,1.688,1.359,20.272,30.158,2.883,3.434,0,12.64,26.523,5.011,4.573,16.077,1.43,8.833,0.975,0,28.685,5.794,16.696,13.79,12.327,20.76,5.981,25.558,6.75,22.733,12.989,8.395,0,32.299,0,13.162,13.884,3.503,12.464,8.633,6.349,0,8.315,16.693,3.184,13.126,21.899,0,17.299,1.033,11.854,17.437,0.78,24.621,17.659,28.598,6.308,26.343,0.797,0.51,51.802,19.122,0.982,7.102,34.882,10.286,0,0,0.558,25.65,24.852
